Topic,Category,Department,Question,URLname,Answer,Service Type ID,Title,Summary,Visible to Customer,Visible in public Knowledge Base,Visible to Partner
Street Surfacing,Streets,Streets,What is street resurfacing and when does it take place?,What-is-street-resurfacing-and-when-does-it-take-place,"Typically, street resurfacing occurs in the summer and fall.

Residents in a planned resurface area will be mailed information in advance of the construction and notified again with an informative door-hanger three to five days before resurfacing is scheduled to begin. The notice will contain information regarding the road-work schedule and how to prepare for the interruption. Barricades will be placed on the affected street indicating the days parking will be restricted.

For more information, or to see the current resurfacing map, please visit https://www.fontana.org/1264/Active-Projects",NA,What is street resurfacing and when does it take place?,"Typically, street resurfacing occurs in the summer and fall.

Residents in a planned resurface area will be mailed information in advance of the construction and notified again with an informative door-hanger three to five days before resurfacing is scheduled to begin. The notice will contain information regarding the road-work schedule and how to prepare for the interruption. Barricades will be placed on the affected street indicating the days parking will be restricted.

For more information, or to see the current resurfacing map, please visit https://www.fontana.org/1264/Active-Projects",TRUE,TRUE,TRUE
Street Vendors,Code_Compliance,Code Compliance,Are street vendors allowed to operate within the City limits?,Are-street-vendors-allowed-to-operate-within-the-City-limits,Street vendors are allowed with permits from the City of Fontana and San Bernardino county health dept.,NA,Are street vendors allowed to operate within the City limits?,Street vendors are allowed with permits from the City of Fontana and San Bernardino county health dept.,TRUE,TRUE,TRUE
Streets,Streets,Streets,"Call Public Works

During business hours Mon- Thurs 7:00 AM - 5:00 PM call (909) 350-6760. 

To report an urgent concern after hours please call [909 350-7700].","Call-Public-Works

During-business-hours-Mon--Thurs-7:00-AM---5:00-PM-call-(909)-350-6760--

To-report-an-urgent-concern-after-hours-please-call-[909-350-7700]-",,,"Call Public Works

During business hours Mon- Thurs 7:00 AM - 5:00 PM call (909) 350-6760. 

To report an urgent concern after hours please call [909 350-7700].",,TRUE,TRUE,TRUE
Subpoenas,Public_Safety,Police,How can I serve a Criminal Subpoena?,How-can-I-serve-a-Criminal-Subpoena,"Criminal subpoenas can be served through our subpoena email at courtsub@fontana.org. For any questions regarding criminal subpoenas Monday- Thursday from 6:30am- 5pm, please call our Subpoena Clerk at 909-350-7743 or on Fridays between the hours of 8:00am â€“ 5:00 pm, call our Records unit at 909-356-7103.",,How can I serve a Criminal Subpoena?,"Criminal subpoenas can be served through our subpoena email at courtsub@fontana.org. For any questions regarding criminal subpoenas Monday- Thursday from 6:30am- 5pm, please call our Subpoena Clerk at 909-350-7743 or on Fridays between the hours of 8:00am â€“ 5:00 pm, call our Records unit at 909-356-7103.",TRUE,TRUE,TRUE
Subpoenas,Public_Safety,Police,How can I serve a Civil Subpoena?,How-can-I-serve-a-Civil-Subpoena,"Civil subpoenas can be served Monday â€“ Thursday 8am to 5pm. The subpoena must be served at least five days in advance of the court date. Payment must be remitted at time of service of the subpoena. Payment should be made by check payable to the City of Fontana. The fees for Civil subpoenas are $275 per officer, per day. For any questions regarding criminal subpoenas Monday- Thursday from 6:30am- 5pm, please call our Subpoena Clerk at 909-350-7743 or on Fridays between the hours of 8:00am â€“ 5:00 pm, call our Records unit at 909-356-7103.",NA,How can I serve a Civil Subpoena?,"Civil subpoenas can be served Monday â€“ Thursday 8am to 5pm. The subpoena must be served at least five days in advance of the court date. Payment must be remitted at time of service of the subpoena. Payment should be made by check payable to the City of Fontana. The fees for Civil subpoenas are $275 per officer, per day. For any questions regarding criminal subpoenas Monday- Thursday from 6:30am- 5pm, please call our Subpoena Clerk at 909-350-7743 or on Fridays between the hours of 8:00am â€“ 5:00 pm, call our Records unit at 909-356-7103.",TRUE,TRUE,TRUE
Subpoenas,Public_Safety,Police,How can I request a Records Subpoena?,How-can-I-request-a-Records-Subpoena,"Records Subpoenas should be addressed to the Fontana Police Department, Custodian of Records and mailed to 17005 Upland Avenue, Fontana, CA 92335, Attn: Records Unit",NA,How can I request a Records Subpoena?,"Records Subpoenas should be addressed to the Fontana Police Department, Custodian of Records and mailed to 17005 Upland Avenue, Fontana, CA 92335, Attn: Records Unit",TRUE,TRUE,TRUE
Traffic Collision Report,Public_Safety,Police,How can I obtain a traffic collision report?,How-can-I-obtain-a-traffic-collision-report,"Copies of a traffic collision report can be requested by mail or in person in the lobby.  We do not send reports electronically.  If the report is not ready at the time of your in-person request, it will be mailed to you once it has been processed.  The fee for a traffic collision is $18.  For a traffic collision requiring reconstruction, the base price is $18 with an additional price of $.05 per page and/or $2.25 per redacted page.  Please visit our website at fontana.org for additional information and request forms.",NA,How can I obtain a traffic collision report?,"Copies of a traffic collision report can be requested by mail or in person in the lobby.  We do not send reports electronically.  If the report is not ready at the time of your in-person request, it will be mailed to you once it has been processed.  The fee for a traffic collision is $18.  For a traffic collision requiring reconstruction, the base price is $18 with an additional price of $.05 per page and/or $2.25 per redacted page.  Please visit our website at fontana.org for additional information and request forms.",TRUE,TRUE,TRUE
Traffic Signals,Streets,Engineering,How can I report a malfunctioning traffic signal?,How-can-I-report-a-malfunctioning-traffic-signal,"The City currently operates over 700 intersections controlled by traffic signals. Over 300 traffic signals are connected to the City's Traffic Operation Center, allowing signal timing to be managed to meet the dynamic needs of the area.  

Traffic Signal problems can pose serious public safety hazards and are responded to immediately.  

To report a traffic signal problem, please call (909) 350-7700. Please do submit an online request as this may cause a delay in response.",NA,How can I report a malfunctioning traffic signal?,"The City currently operates over 700 intersections controlled by traffic signals. Over 300 traffic signals are connected to the City's Traffic Operation Center, allowing signal timing to be managed to meet the dynamic needs of the area.  

Traffic Signal problems can pose serious public safety hazards and are responded to immediately.  

To report a traffic signal problem, please call (909) 350-7700. Please do submit an online request as this may cause a delay in response.",TRUE,TRUE,TRUE
Trash Cans,Streets,Streets,Can garbage cans or leaf piles be placed in the bike lane?,Can-garbage-cans-or-leaf-piles-be-placed-in-the-bike-lane,"In many parts of Fontana, cyclists are required to share the bike lane with  garbage containers due to the limited amount of space for both.

While cans need to be out for servicing, they are not permitted to remain in the street for long periods of time.  Containers left out beyond their service day can be reported.

To report cans left in bike lanes submit a request [link to request to code compliance]",CODETRSHCN,Can garbage cans or leaf piles be placed in the bike lane?,"In many parts of Fontana, cyclists are required to share the bike lane with  garbage containers due to the limited amount of space for both.

While cans need to be out for servicing, they are not permitted to remain in the street for long periods of time.  Containers left out beyond their service day can be reported.

To report cans left in bike lanes submit a request [link to request to code compliance]",TRUE,TRUE,TRUE
Trash Cans,Waste_Services,Solid Waste,Can I change the day or frequency my recycling can is serviced?,Can-I-change-the-day-or-frequency-my-recycling-can-is-serviced,Trash pickup are set and cannot be changed.,NA,Can I change the day or frequency my recycling can is serviced?,Trash pickup are set and cannot be changed.,TRUE,TRUE,TRUE
Trash Cans,Waste_Services,Solid Waste,I need assistance getting my trash cans out. Can the City help?,I-need-assistance-getting-my-trash-cans-out--Can-the-City-help,"
The City of Fontana offers help to disabled customers needing assistance in getting their solid waste containers out for service. The service is offered at no additional charge to property owners and tenants. Once enrolled in the program, each service day the driver will enter the customer's property, wheel the container to the street, empty it, and return the container to its storage location. Disabled service is available for all commodity types, garbage, lawn, and recycle.

Call Public Works Environmental Control (909) 350-6067 to schedule a crew to help resident pull trash can.  Submit case request",CODETRSHCNAST,I need assistance getting my trash cans out. Can the City help?,"
The City of Fontana offers help to disabled customers needing assistance in getting their solid waste containers out for service. The service is offered at no additional charge to property owners and tenants. Once enrolled in the program, each service day the driver will enter the customer's property, wheel the container to the street, empty it, and return the container to its storage location. Disabled service is available for all commodity types, garbage, lawn, and recycle.

Call Public Works Environmental Control (909) 350-6067 to schedule a crew to help resident pull trash can.  Submit case request",TRUE,TRUE,TRUE
Trash Cans,Waste_Services,Solid Waste,"Will the City replace the wheel on my garbage, lawn, or recycle container?",Will-the-City-replace-the-wheel-on-my-garbage--lawn--or-recycle-container,Please contact Burrtec for more information:  www.burrtec.com,NA,"Will the City replace the wheel on my garbage, lawn, or recycle container?",Please contact Burrtec for more information:  www.burrtec.com,TRUE,TRUE,TRUE
Trash Cans,Code_Compliance,Code Compliance,Can I store my trash cans on the side of my house?,Can-I-store-my-trash-cans-on-the-side-of-my-house,"Trash cans must be stored behind a gate or out of public view.
To report trash cans left out on public view click here",CODETRSHCN,Can I store my trash cans on the side of my house?,"Trash cans must be stored behind a gate or out of public view.
To report trash cans left out on public view click here",TRUE,TRUE,TRUE
Trash Cans,Waste_Services,Solid Waste,â€‹â€‹â€‹â€‹â€‹â€‹â€‹There is a stray can in my neighborhood. Can someone come to remove it?,â€‹â€‹â€‹â€‹â€‹â€‹â€‹There-is-a-stray-can-in-my-neighborhood--Can-someone-come-to-remove-it,"For trash related questions, please call Burrtec at 909-987-3717 or visit Burrtec.com",NA,â€‹â€‹â€‹â€‹â€‹â€‹â€‹There is a stray can in my neighborhood. Can someone come to remove it?,"For trash related questions, please call Burrtec at 909-987-3717 or visit Burrtec.com",TRUE,TRUE,TRUE
Trash Cans,Waste_Services,Solid Waste,Where can I find my garbage collection days and set-up reminders?,Where-can-I-find-my-garbage-collection-days-and-set-up-reminders,"Our collection calendar allows you to view, download, and print a service calendar specific to your address.  You can view the schedule pick here (Link to address info module still being built by Stack Nexus)

While there, you can also set weekly reminder alerts via text or email. To check your service day, or set up a reminder, visit us here [link to GIS Map data]. ",NA,Where can I find my garbage collection days and set-up reminders?,"Our collection calendar allows you to view, download, and print a service calendar specific to your address.  You can view the schedule pick here (Link to address info module still being built by Stack Nexus)

While there, you can also set weekly reminder alerts via text or email. To check your service day, or set up a reminder, visit us here [link to GIS Map data]. ",TRUE,TRUE,TRUE
Utility Sewer Payment,Sewer,Sewer,Where can I pay a utility bill?,Where-can-I-pay-a-utility-bill,"You may pay your sewer City Utility bill in person, online, or by mail.

Phone
(909) 350-7675.
Monday - Thursday 8 AM-5 PM

In-Person
8353 Sierra Avenue â€¢ Fontana, CA 92335
Monday through Thursday, 8 AM - 5 PM

Online https://www.fontana.org/3032/Utilities

By Mail
City of Fontana Utility Billing
8353 Sierra Avenue â€¢ Fontana, CA 92335",NA,Where can I pay a utility bill?,"You may pay your sewer City Utility bill in person, online, or by mail.

Phone
(909) 350-7675.
Monday - Thursday 8 AM-5 PM

In-Person
8353 Sierra Avenue â€¢ Fontana, CA 92335
Monday through Thursday, 8 AM - 5 PM

Online https://www.fontana.org/3032/Utilities

By Mail
City of Fontana Utility Billing
8353 Sierra Avenue â€¢ Fontana, CA 92335",TRUE,TRUE,TRUE
Vehicle Towed,Code_Compliance,Code Compliance,"I believe my vehicle was towed, whom should I contact?",I-believe-my-vehicle-was-towed--whom-should-I-contact,"If you received a vehicle violation notice, and you believe your vehicle has now been towed, please contact the Fontana Police Department's non-emergency line at (909) 350-7700.

The City of Fontana contracts with multiple tow companies to handle vehicle towing. Each towing company stores vehicles & trailers at its impound yard. Service fees, hours of operation, and impound yard location vary with each company. The Fontana Police Department will provide information regarding which company towed a vehicle, and provide contact information for the specific company.",NA,"I believe my vehicle was towed, whom should I contact?","If you received a vehicle violation notice, and you believe your vehicle has now been towed, please contact the Fontana Police Department's non-emergency line at (909) 350-7700.

The City of Fontana contracts with multiple tow companies to handle vehicle towing. Each towing company stores vehicles & trailers at its impound yard. Service fees, hours of operation, and impound yard location vary with each company. The Fontana Police Department will provide information regarding which company towed a vehicle, and provide contact information for the specific company.",TRUE,TRUE,TRUE
Vital Records,General,City Clerk's Office,How do I obtain a copy of a birth or death certificate?,How-do-I-obtain-a-copy-of-a-birth-or-death-certificate,Please contact the San Bernardino County Department of Public Health for such records. Please visit this website for more information. https://wp.sbcounty.gov/dph/programs/vsro/request-certificate/,NA,How do I obtain a copy of a birth or death certificate?,Please contact the San Bernardino County Department of Public Health for such records. Please visit this website for more information. https://wp.sbcounty.gov/dph/programs/vsro/request-certificate/,TRUE,TRUE,TRUE
Vital Records,General,City Clerk's Office,How do I obtain a copy of my marriage license? ,How-do-I-obtain-a-copy-of-my-marriage-license-,Please contact the San Bernardino County Recorder Clerk Office for such records. Please visit this website for more information. https://arc.sbcounty.gov/marriage/,NA,How do I obtain a copy of my marriage license? ,Please contact the San Bernardino County Recorder Clerk Office for such records. Please visit this website for more information. https://arc.sbcounty.gov/marriage/,TRUE,TRUE,TRUE
Water,Water,Water,I have questions regarding water,I-have-questions-regarding-water,Please contact Fontana Water Company (909) 822-2201,NA,I have questions regarding water,Please contact Fontana Water Company (909) 822-2201,TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,When do weed abatement inspection begin?,When-do-weed-abatement-inspection-begin,"Weed abatement inspections begin the first week of April for the Spring season and the first week of October of the Fall season. 

Every parcel in the City of Fontana is inspected for weeds/trash violations.",NA,When do weed abatement inspection begin?,"Weed abatement inspections begin the first week of April for the Spring season and the first week of October of the Fall season. 

Every parcel in the City of Fontana is inspected for weeds/trash violations.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,How do I know if I am in violation of weed abatement?,How-do-I-know-if-I-am-in-violation-of-weed-abatement,"Parcel(s) with weeds that are over one inch in height and ground coverage anywhere from one percent to one hundred percent will be in violation. 

Parcels that have trash, junk, debris and rubbish will be in violation.",NA,How do I know if I am in violation of weed abatement?,"Parcel(s) with weeds that are over one inch in height and ground coverage anywhere from one percent to one hundred percent will be in violation. 

Parcels that have trash, junk, debris and rubbish will be in violation.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,When is the deadline for weed abatement?,When-is-the-deadline-for-weed-abatement,"Property owners have thirty (30) days to bring their property into compliance. If the City is forced to abate the hazard, the property is subject to a re-inspection fee, abatement fee, possible warrant fee and contractors costs.",NA,When is the deadline for weed abatement?,"Property owners have thirty (30) days to bring their property into compliance. If the City is forced to abate the hazard, the property is subject to a re-inspection fee, abatement fee, possible warrant fee and contractors costs.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,I no longer own the property. Why was I sent a weed abatement notice?,I-no-longer-own-the-property--Why-was-I-sent-a-weed-abatement-notice,"At times, the records are not always up to date. The Weed Abatement Notice is sent to the last known owner on the San Bernardino County's assessment roll. Please let the Code Compliance division of the City of Fontana know immediately by calling (909) 854-8020.",NA,I no longer own the property. Why was I sent a weed abatement notice?,"At times, the records are not always up to date. The Weed Abatement Notice is sent to the last known owner on the San Bernardino County's assessment roll. Please let the Code Compliance division of the City of Fontana know immediately by calling (909) 854-8020.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,Can I get a weed abatement extension?,Can-I-get-a-weed-abatement-extension,"Yes. Call the name and number of the Inspector on the weed abatement notice. Typically a 14 day extension will be considered on a case by case basis, provided the parcel is not an immediate threat (fire hazard) to the surrounding area.",NA,Can I get a weed abatement extension?,"Yes. Call the name and number of the Inspector on the weed abatement notice. Typically a 14 day extension will be considered on a case by case basis, provided the parcel is not an immediate threat (fire hazard) to the surrounding area.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,Where can I find a weed abatement contractor?,Where-can-I-find-a-weed-abatement-contractor,"Weed abatement contractors can be found in the internet under ""weed control services"" or ""discing services.""",NA,Where can I find a weed abatement contractor?,"Weed abatement contractors can be found in the internet under ""weed control services"" or ""discing services.""",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,Do I have to attend the weed abatement hearing?,Do-I-have-to-attend-the-weed-abatement-hearing,The hearing is NOT mandatory.Â  Property owners who wish to object may attend the hearing.,NA,Do I have to attend the weed abatement hearing?,The hearing is NOT mandatory.Â  Property owners who wish to object may attend the hearing.,TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,What do I do once the weed abatement work has been completed?,What-do-I-do-once-the-weed-abatement-work-has-been-completed,Contact the inspector whose name and phone number are listed on the notice and inform him/her that the work has been completed. Make sure the work has been completed before the compliance date stated on the notice. Â It is best to follow up with the inspector to ensure the property passed inspection and the case has been closed. Â You will not receive a letter from the City stating your case has been closed.,NA,What do I do once the weed abatement work has been completed?,Contact the inspector whose name and phone number are listed on the notice and inform him/her that the work has been completed. Make sure the work has been completed before the compliance date stated on the notice. Â It is best to follow up with the inspector to ensure the property passed inspection and the case has been closed. Â You will not receive a letter from the City stating your case has been closed.,TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,Why did I receive a weed abatement bill?,Why-did-I-receive-a-weed-abatement-bill,There are several reasons why a bill may be sent. A re-inspection fee may be issued if the abatement is not completed by the compliance date. A warrant fee may be issued if a warrant was obtained AND posted on your property. Â An abatement fee would be issued if the City's contractor had to do the abatement on your property. Any other fees assessed are contractor fees.,NA,Why did I receive a weed abatement bill?,There are several reasons why a bill may be sent. A re-inspection fee may be issued if the abatement is not completed by the compliance date. A warrant fee may be issued if a warrant was obtained AND posted on your property. Â An abatement fee would be issued if the City's contractor had to do the abatement on your property. Any other fees assessed are contractor fees.,TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,A warrant was posted on my property regarding weed abatement but I did not receive a notice?,A-warrant-was-posted-on-my-property-regarding-weed-abatement-but-I-did-not-receive-a-notice,"Notices are sent to property owner information obtained from the San Bernardino County Assessors office. Address changes must be made with the Assessors office and NOT City of Fontana. Notices are only posted on vacant lots. If you are experiencing issues with getting your mail, you may contact your local post office.",NA,A warrant was posted on my property regarding weed abatement but I did not receive a notice?,"Notices are sent to property owner information obtained from the San Bernardino County Assessors office. Address changes must be made with the Assessors office and NOT City of Fontana. Notices are only posted on vacant lots. If you are experiencing issues with getting your mail, you may contact your local post office.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,I don't have weeds in front of my house. Why did I receive a notice?,I-don-t-have-weeds-in-front-of-my-house--Why-did-I-receive-a-notice,"AnyÂ weeds observed onÂ anyÂ part of the property visible from the street will justify sending a notice. This includes the rear yard, hillsides, side yards, front yard, curb and gutter, side frontage, planters, frontage areas and horse trails.",NA,I don't have weeds in front of my house. Why did I receive a notice?,"AnyÂ weeds observed onÂ anyÂ part of the property visible from the street will justify sending a notice. This includes the rear yard, hillsides, side yards, front yard, curb and gutter, side frontage, planters, frontage areas and horse trails.",TRUE,TRUE,TRUE
Weed Abatement,Weed_Abatement,Weed Abatement,Do I get a letter from the City stating my weed abatement case has been closed?,Do-I-get-a-letter-from-the-City-stating-my-weed-abatement-case-has-been-closed,The City does not send notices notifying property owners of the case being closed. It will be up to the property owner to contact the inspector to obtain confirmation.,NA,Do I get a letter from the City stating my weed abatement case has been closed?,The City does not send notices notifying property owners of the case being closed. It will be up to the property owner to contact the inspector to obtain confirmation.,TRUE,TRUE,TRUE
Wildlife Issues,Animal_Services,Animal Services,What can be done about wildlife issue within the City of Fontana?,What-can-be-done-about-wildlife-issue-within-the-City-of-Fontana,"Fontana Animal Service will respond for wildlife issues regarding sick and injured animals, however if wildlife is found unharmed we asked the public the leave the animal alone and allow it to coexist as we always have coexisted. For further information or questions pertaining to wildlife email animalservices@fontana.org",NA,What can be done about wildlife issue within the City of Fontana?,"Fontana Animal Service will respond for wildlife issues regarding sick and injured animals, however if wildlife is found unharmed we asked the public the leave the animal alone and allow it to coexist as we always have coexisted. For further information or questions pertaining to wildlife email animalservices@fontana.org",TRUE,TRUE,TRUE
Wildlife Issues,Animal_Services,Animal Services,What can be done about nuisance wildlife?,What-can-be-done-about-nuisance-wildlife,"Fontana Animal Services does not respond to nuisance wildlife, unless sick or injured. The residents of Fontana will need to call a pest control or licensed critter control company",NA,What can be done about nuisance wildlife?,"Fontana Animal Services does not respond to nuisance wildlife, unless sick or injured. The residents of Fontana will need to call a pest control or licensed critter control company",TRUE,TRUE,TRUE
Wildlife Issues,Animal_Services,Animal Services,Can I report injured wildlife?,Can-I-report-injured-wildlife,"The City of Fontana Animal Service will respond to complaints of a wild animal that is showing signs of illness or has a visible injury. To report injured wildlife, please call (909) 350-7700 so that we can respond immediately.",NA,Can I report injured wildlife?,"The City of Fontana Animal Service will respond to complaints of a wild animal that is showing signs of illness or has a visible injury. To report injured wildlife, please call (909) 350-7700 so that we can respond immediately.",TRUE,TRUE,TRUE
Yard Sales,Code_Compliance,Code Compliance,When can I have a yard sale?,When-can-I-have-a-yard-sale,"City of Fontana Ordinance 1653 provides residents with the ability to hold yard and garage sales up to four times per year on the first full weekends (Friday through Sunday) in February, May, August, and November.

Yard Sale Permits are no longer required as long as the yard sales and garage sales are on the specified dates:

February 4, 5, and 6, 2022
May 6, 7, and 8, 2022
August 5, 6, and 7, 2022
November 4, 5, and 6, 2022

Due to Covid-19 we ask that you wear a mask or face covering and maintain social distance.

An emergency yard sale permit is required for yard sales outside of the listed dates.  To apply for an emergency yard sale permit you may either call (909) 854-8020 or click here to fill out the Emergency Yard Sale permit (https://www.fontana.org/formcenter/police-department-4/emergency-yard-sale-permit-118).",NA,When can I have a yard sale?,"City of Fontana Ordinance 1653 provides residents with the ability to hold yard and garage sales up to four times per year on the first full weekends (Friday through Sunday) in February, May, August, and November.

Yard Sale Permits are no longer required as long as the yard sales and garage sales are on the specified dates:

February 4, 5, and 6, 2022
May 6, 7, and 8, 2022
August 5, 6, and 7, 2022
November 4, 5, and 6, 2022

Due to Covid-19 we ask that you wear a mask or face covering and maintain social distance.

An emergency yard sale permit is required for yard sales outside of the listed dates.  To apply for an emergency yard sale permit you may either call (909) 854-8020 or click here to fill out the Emergency Yard Sale permit (https://www.fontana.org/formcenter/police-department-4/emergency-yard-sale-permit-118).",TRUE,TRUE,TRUE
Yard Sales,Code_Compliance,Code Compliance,How do I apply for an emergency yard sale permit?,How-do-I-apply-for-an-emergency-yard-sale-permit,To apply for an emergency yard sale permit you may either call (909) 854-8020 or click here to fill out the Emergency Yard Sale permit (https://www.fontana.org/formcenter/police-department-4/emergency-yard-sale-permit-118).,NA,How do I apply for an emergency yard sale permit?,To apply for an emergency yard sale permit you may either call (909) 854-8020 or click here to fill out the Emergency Yard Sale permit (https://www.fontana.org/formcenter/police-department-4/emergency-yard-sale-permit-118).,TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,I am new to the City and want to open a business in Fontana. Who do I contact at the City to help me with the process for opening a business?,I-am-new-to-the-City-and-want-to-open-a-business-in-Fontana--Who-do-I-contact-at-the-City-to-help-me-with-the-process-for-opening-a-business,"Please contact Economic Development Analyst Rhonesia Perry at (909) 350-6741, or schedule an appointment by clicking here (link)",BUSSCHED,I am new to the City and want to open a business in Fontana. Who do I contact at the City to help me with the process for opening a business?,"Please contact Economic Development Analyst Rhonesia Perry at (909) 350-6741, or schedule an appointment by clicking here (link)",TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,Where can I obtain business startup information?,Where-can-I-obtain-business-startup-information,"The Inland Empire Small Business Development Center (IESBDC) provides small businesses and entrepreneurs in Riverside and San Bernardino Counties with business assistance services. The IESBDC offers informative seminars and workshops, including a workshop on starting a small business. They also offer specialized services and programs for businesses. You can obtain more information on the services provided by IESBDC on their website or by calling (951) 781-2345.",NA,Where can I obtain business startup information?,"The Inland Empire Small Business Development Center (IESBDC) provides small businesses and entrepreneurs in Riverside and San Bernardino Counties with business assistance services. The IESBDC offers informative seminars and workshops, including a workshop on starting a small business. They also offer specialized services and programs for businesses. You can obtain more information on the services provided by IESBDC on their website or by calling (951) 781-2345.",TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,Where can I get a list of architects and engineers who can assist me with the plans I need to submit to the City?,Where-can-I-get-a-list-of-architects-and-engineers-who-can-assist-me-with-the-plans-I-need-to-submit-to-the-City,"You will need to search for the list of architects and engineers on the Internet. You will need to call the architects and engineers to get his/her client's contact information, so you can interview their clients to determine if you want to hire him/her to prepare your plans. In addition, you will need to check the California Architects Board to find out if an architect is licensed and the license is valid. To find out if an engineer is licensed and the license is still valid, please contact the Board for Professional Engineers, Land Surveyors, and Geologists. The City is unable to recommend a specific architect or engineer to you.",NA,Where can I get a list of architects and engineers who can assist me with the plans I need to submit to the City?,"You will need to search for the list of architects and engineers on the Internet. You will need to call the architects and engineers to get his/her client's contact information, so you can interview their clients to determine if you want to hire him/her to prepare your plans. In addition, you will need to check the California Architects Board to find out if an architect is licensed and the license is valid. To find out if an engineer is licensed and the license is still valid, please contact the Board for Professional Engineers, Land Surveyors, and Geologists. The City is unable to recommend a specific architect or engineer to you.",TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,Do home-based businesses require a license?,Do-home-based-businesses-require-a-license,Businesses located at a residential address within City limits must obtain and maintain aÂ Home Occupation Permit.Â ,NA,Do home-based businesses require a license?,Businesses located at a residential address within City limits must obtain and maintain aÂ Home Occupation Permit.Â ,TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,Are street vendors allowed to operate within city limits?,Are-street-vendors-allowed-to-operate-within-city-limits,"There are specific rules and guidelines for street vending in the City of Fontana. Under the San Bernardino County Sidewalk Vending and Mobile Food Facilities Ordinance, the City of Fontana compiles with the specified codes as set forth by the San Bernardino County of Public Health. For more information click here. (hyperlink to  https://www.fontana.org/DocumentCenter/View/37773/CoF-Vendor-Booklet-PRESS_dig?bidId= )                  For a City of Fontana Application click here: hyperlink to: https://www.fontana.org/DocumentCenter/View/29690/Sidewalk-Vending-Application) To obtain San  Bernardino County Food Facilities Health Permit, click here: (hyperlink to: https://wp.sbcounty.gov/dph/programs/ehs/food-facilities) ",NA,Are street vendors allowed to operate within city limits?,"There are specific rules and guidelines for street vending in the City of Fontana. Under the San Bernardino County Sidewalk Vending and Mobile Food Facilities Ordinance, the City of Fontana compiles with the specified codes as set forth by the San Bernardino County of Public Health. For more information click here. (hyperlink to  https://www.fontana.org/DocumentCenter/View/37773/CoF-Vendor-Booklet-PRESS_dig?bidId= )                  For a City of Fontana Application click here: hyperlink to: https://www.fontana.org/DocumentCenter/View/29690/Sidewalk-Vending-Application) To obtain San  Bernardino County Food Facilities Health Permit, click here: (hyperlink to: https://wp.sbcounty.gov/dph/programs/ehs/food-facilities/) ",TRUE,TRUE,TRUE
,Business_Assistance,Business Assistance,I am looking to start a business and uncertain of where to begin? ,I-am-looking-to-start-a-business-and-uncertain-of-where-to-begin-,"For new business owners, starting a new business can be very confusing. As you determine the best business for you, go to Governor's Office of Business and Economic Development (Go-Biz) to determine Permits and Licenses required to establish your business. Click Here for more information: (hyperlink to : https://www.calgold.ca.gov/Results.aspx?location=203&businessTypes=128&greenBusiness=False&levelOfGovernmentFilter=31) ",NA,I am looking to start a business and uncertain of where to begin? ,"For new business owners, starting a new business can be very confusing. As you determine the best business for you, go to Governor's Office of Business and Economic Development (Go-Biz) to determine Permits and Licenses required to establish your business. Click Here for more information: (hyperlink to : https://www.calgold.ca.gov/Results.aspx?location=203&businessTypes=128&greenBusiness=False&levelOfGovernmentFilter=31) ",TRUE,TRUE,TRUE
